university,cycle,party,donor_count,donation_count,total_amount
CUNY,2012,OTH,143,203,61608.00
CUNY,2016,DEM,519,6095,487837.00
CUNY,2016,REP,26,80,36875.00
CUNY,2016,OTH,261,1084,98920.00
CUNY,2020,DEM,890,13965,1194137.00
CUNY,2020,REP,54,464,38278.00
CUNY,2020,OTH,260,2030,174192.00
CUNY,2024,DEM,519,4934,668134.00
CUNY,2024,REP,25,138,15906.00
CUNY,2024,OTH,165,1225,132017.00
CUNY,2026,DEM,137,1159,91897.00
CUNY,2026,REP,9,68,7859.00
CUNY,2026,OTH,59,657,27949.00
Caltech,2008,DEM,48,98,56902.00
Caltech,2008,REP,1,3,1200.00
Caltech,2008,OTH,6,16,6225.00
Caltech,2012,DEM,42,124,62063.00
Caltech,2012,REP,5,10,5500.00
Caltech,2012,OTH,6,8,4600.00
Caltech,2016,DEM,50,562,73305.00
Caltech,2016,REP,15,133,31787.00
Caltech,2016,OTH,11,98,15398.00
Caltech,2020,DEM,84,1460,234644.00
Caltech,2020,REP,15,409,46538.00
Caltech,2020,OTH,27,186,50961.00
Caltech,2024,DEM,66,805,193195.00
Caltech,2024,REP,12,198,22970.00
Caltech,2024,OTH,20,221,34539.00
Caltech,2026,DEM,18,184,46935.00
Caltech,2026,REP,5,13,1937.00
Caltech,2026,OTH,15,92,6390.00
Carleton College,2008,DEM,12,17,15015.00
Carleton College,2008,OTH,1,1,200.00
Carleton College,2012,DEM,5,11,9750.00
Carleton College,2012,OTH,3,4,1500.00
Carleton College,2016,DEM,7,57,2749.00
Carleton College,2020,DEM,39,871,47014.00
Carleton College,2020,OTH,3,43,3190.00
Carleton College,2024,DEM,42,571,42654.00
Carleton College,2024,OTH,4,32,2736.00
Carleton College,2026,DEM,5,19,2450.00
Carleton College,2026,OTH,2,12,420.00
Carnegie Mellon University,2008,DEM,60,97,55954.00
Carnegie Mellon University,2008,REP,9,11,4900.00
Carnegie Mellon University,2008,OTH,5,12,3100.00
Carnegie Mellon University,2012,DEM,67,130,55867.00
Carnegie Mellon University,2012,REP,7,12,4311.00
Carnegie Mellon University,2012,OTH,5,8,5750.00
Carnegie Mellon University,2016,DEM,93,833,101838.00
Carnegie Mellon University,2016,REP,4,7,6351.00
Carnegie Mellon University,2016,OTH,18,73,7226.00
Carnegie Mellon University,2020,DEM,157,1855,312654.00
